id,name,slug,description
1,CATEGORIA-1,categoria-1,CATEGORIA-1-----categoria-1
2,CATEGORIA-2,categoria-2,CATEGORIA-2-----categoria-2
3,CATEGORIA-3,categoria-3,CATEGORIA-3-----categoria-3
4,CATEGORIA-4,categoria-4,CATEGORIA-4-----categoria-4
5,CATEGORIA-5,categoria-5,CATEGORIA-5-----categoria-5
6,CATEGORIA-6,categoria-6,CATEGORIA-6-----categoria-6
7,CATEGORIA-7,categoria-7,CATEGORIA-7-----categoria-7
8,CATEGORIA-8,categoria-8,CATEGORIA-8-----categoria-8
9,CATEGORIA-9,categoria-9,CATEGORIA-9-----categoria-9
10,CATEGORIA-10,categoria-10,CATEGORIA-10-----categoria-10
